source,title,company,location,province,homecare,homecare_only,published_at,application_deadline,contract_type,employment_type,cooperative,salary,piva_required,adi,salary_present,detail_status,detail_access_issue,latitude,longitude,url,score,distance_km,opportunity_id,job_id,raw_text
Bakeca,FISIOTERAPISTA - MARINO (RM),S.M.E.C. SRLS,MARINO,RM,False,False,2026-09-09,,tempo_indeterminato,full_time,False,,False,False,False,not_applicable,False,41.76984,12.65917,https://roma.bakeca.it/dettaglio/medicina-salute-assistenza/fisioterapista-marino-rm-7m3m295526442,100,4.230470689032693,0873a5c91a608cde70ccfb9e,e463c35be56d79632950ffe8,"1 FISIOTERAPISTA - MARINO (RM) Tempo indeterminato . Full time S.M.E.C. SRLS cerca per azienda leader nel settore Sanitario nella città di MARINO (RM), Fisioterapisti Professionali per la Riabilitaz … Azienda: S.M.E.C. SRLS 09/09/2026 Marino Candidati"
Bakeca,FISIOTERAPISTA - ANZIO (RM),S.M.E.C. SRLS,ANZIO,RM,False,False,2026-09-08,,tempo_indeterminato,full_time,False,,False,False,False,not_applicable,False,41.45263,12.62157,https://roma.bakeca.it/dettaglio/medicina-salute-assistenza/fisioterapista-anzio-rm-wdxr296586814,92,31.192204789296092,0671fa9d7389300edc6c4f8d,4d38f0aecc397a27c4039f14,"1 FISIOTERAPISTA - ANZIO (RM) Tempo indeterminato . Full time S.ME.C. SRLS Cerca per azienda leader nel settore Sanitario nella città di ANZIO (RM), FISIOTERAPISTI da poter inserire stabilmente da … Azienda: S.M.E.C. SRLS 08/09/2026 Anzio Candidati"
Bakeca,Cercasi Fisioterapisti,Studio Fisioterapico Morgagni Srl,Roma,RM,False,False,2026-09-01,,tempo_indeterminato,turni,False,,False,False,False,not_applicable,False,41.89193,12.51133,https://roma.bakeca.it/dettaglio/medicina-salute-assistenza/cercasi-fisioterapisti-i3r2263179940,85,21.57327935239526,816c8544e3fa92bdc2f5ce71,14665d0fded2f232cf4a46fc,Cercasi Fisioterapisti Tempo indeterminato . Turni Lo Studio Fisioterapico Morgagni sito in Roma a Via Castro dei Volsci 34 (fermata metro Arco di Travertino) ricerca urgentemente Fisiot … Azienda: Studio Fisioterapico Morgagni Srl 01/09/2026 Roma Candidati
LinkedIn,Fisioterapista,"Centro di Riabilitazione ""Villaggio Eugenio Litta""",Grottaferrata,RM,False,False,2026-08-31,,non_specificato,non_specificato,False,,False,False,False,not_requested_known,False,41.78664,12.67144,https://it.linkedin.com/jobs/view/fisioterapista-at-centro-di-riabilitazione-villaggio-eugenio-litta-3762487118,70,6.194566051188897,3efdb49d58e05f114fd40a1e,c243ed6c06247d271b86fba3,"Fisioterapista Centro di Riabilitazione ""Villaggio Eugenio Litta"""
LinkedIn,Fisioterapista,FisioSiPuò - Studio di Fisioterapia e Riabilitazione,Roma,RM,False,False,2026-09-11,,non_specificato,non_specificato,False,,False,False,False,ok,False,41.89193,12.51133,https://it.linkedin.com/jobs/view/fisioterapista-at-fisiosipu%C3%B2-studio-di-fisioterapia-e-riabilitazione-4466048744,60,21.57327935239526,ef0d9b1a1be284fbe7f7e61a,af2df16516c314f15deca31f,"Fisioterapista FisioSiPuò - Studio di Fisioterapia e Riabilitazione Descrizione dell'Azienda Studio FisioSiPuò è un gruppo di centri di fisioterapia con due sedi a Roma , zona Casalotti e zona Montesacro, che offre servizi completi di fisioterapia, riabilitazione, osteopatia e fisioterapia dermatofunzionale, diventando nel corso degli anni un punto di riferimento clinico per il trattamento di diastasi addominale e lipedema . Descrizione del Ruolo Per ampliamento attività e struttura stiamo cercando un fisioterapista per unirsi alla nostra sede di Roma Montesacro, situata in Via Valsassina 75-77: in questo ruolo, a tempo parziale con turni pomeridiani, sarai responsabile del percorso terapeutico del pazienti , con monitoraggio e coordinamento continuo con il resto del team, sia clinico che non clinico, per garantire un'assistenza completa. Il ruolo richiede un approccio ematico ed una forte passione per il miglioramento del benessere dei pazienti. Qualifiche Cliniche Esperienza documentate in fisioterapia e riabilitazione per sviluppare ed implementare piani terapeutici efficaci Conoscenza base sull'utilizzo della terapia fisica strumentale Competenze in medicina e cura del paziente, con particolare attenzione alla comunicazione ed all'empatia Capacità organizzative, predisposizione al lavoro in team e conoscenze aggiornate sulle migliori pratiche nel settore della salute Formazione specifica, esperienza diretta o desiderio di formazione per il trattamento di diastasi addominale e lipedema"
LinkedIn,FISIOTERAPISTA DOMICILIARE ASL RM 2 - Distretto 8 - 9,SOL Group,Roma,RM,True,False,2026-08-27,,non_specificato,non_specificato,False,,False,False,False,ok,False,41.89193,12.51133,https://it.linkedin.com/jobs/view/fisioterapista-domiciliare-asl-rm-2-distretto-8-9-at-sol-group-4458626435,60,21.57327935239526,4b143eebcd0419df545ee4b3,66d101c1cdb5b2b4a6fb313a,"FISIOTERAPISTA DOMICILIARE ASL RM 2 - Distretto 8 - 9 SOL Group Nell'ambito del Servizio CURE DOMICILIARI ACCREDITATE del LAZIO ricerchiamo FISIOTERAPISTI per: SERVIZIO DI ASSISTENZA DOMICILIARE (Alta Intensità/Bassa intensità/ Media intensità) La risorsa, che si inserirà a riporto della Direzione Sanitaria, si occuperà di: Assistere il paziente secondo il piano assistenziale individuale Lavorare in équipe per il continuo miglioramento del servizio offerto La persona che stiamo cercando risponde ai seguenti requisiti fondamentali: Interesse lavorativo per le seguenti zone ASL ROMA 2: Distretto 8 – Municipio VIII (quartieri e zone: Parco Appia Antica; Montagnola; Torricola; Ostiense (parte); Tintoretto; Tor Marancia; Ardeatino; San Paolo; Ex Fiera di Roma) Distretto 9 – Municipio IX (quartieri e zone: EUR; Cecchignola; Laurentino; Vallerano; Tor di Valle; Giuliano Dalmata; Torrino; Mezzocammino; Castel Romano; Vitinia; Europa; Fonte Ostiense; Spinaceto; Castel di Decima) Laurea triennale o magistrale Iscrizione all'Albo professionale Assicurazione professionale Requisiti preferenziali: Professionalità Capacità di lavorare in team Disponibilità agli spostamenti Cosa Offriamo: La tipologia contrattuale sarà definita in sede di colloquio, in base alle esigenze del candidato e all’organizzazione del servizio Vivisol offre un ambiente di lavoro dinamico e giovanile, impegnato in una costante diversificazione volta a soddisfare pazienti e clienti. Crediamo nelle persone e nel valore che esse portano ai processi strategici, incentivando costantemente lo spirito di imprenditorialità insito nelle Aziende del Gruppo SOL."
LinkedIn,Fisioterapista,Marilab,Roma,RM,False,False,2026-09-03,,non_specificato,non_specificato,False,,False,False,False,not_requested_known,False,41.89193,12.51133,https://it.linkedin.com/jobs/view/fisioterapista-at-marilab-4459156043,60,21.57327935239526,0af954b5b5368733cbfcfb0f,51001a15e5dd1e3d8d78cb0f,Fisioterapista Marilab
LinkedIn,Fisioterapista,Fisioflow,Roma,RM,False,False,2026-08-28,,non_specificato,non_specificato,False,,False,False,False,not_requested_known,False,41.89193,12.51133,https://it.linkedin.com/jobs/view/fisioterapista-at-fisioflow-4458768583,60,21.57327935239526,e1134bf4e25a83c0306964f1,68e867711136af32a8f88488,Fisioterapista Fisioflow
LinkedIn,Fisioterapista,Auxologico IRCCS,Roma,RM,False,False,2026-05-13,,non_specificato,non_specificato,False,,False,False,False,not_requested_known,False,41.89193,12.51133,https://it.linkedin.com/jobs/view/fisioterapista-at-istitutoauxologico-4413165637,60,21.57327935239526,5266a706af436df0af722e11,c5aabd0a6c03c8807608eb06,Fisioterapista Auxologico IRCCS
Bakeca,Fisioterapista,Centro di riabilitazione ex art 26,Roma,RM,True,False,2026-09-03,,partita_iva,part_time,False,,True,False,False,not_applicable,False,41.89193,12.51133,https://roma.bakeca.it/dettaglio/medicina-salute-assistenza/fisioterapista-qb5g299099440,54,21.57327935239526,dc4c036e57bbf2cb9fa8ac60,fda0be0341cf52a65af8ca10,Fisioterapista Libero professionista (o Partita IVA) . Part time Si ricerca Fisioterapista domiciliare per centro di riabilitazione ex. art 26 nelle zone di Monteverde e Portuense. Attività in libera … Azienda: Centro di riabilitazione ex art 26 03/09/2026 Roma Candidati
Bakeca,Fisioterapista,Centro di riabilitazione,Roma,RM,True,False,2026-09-03,,partita_iva,part_time,False,,True,False,False,not_applicable,False,41.89193,12.51133,https://roma.bakeca.it/dettaglio/medicina-salute-assistenza/fisioterapista-cxqw299100014,54,21.57327935239526,77a60e49e94457eef31abaa3,d0fdf836cbf56aa82e7d0819,Fisioterapista Libero professionista (o Partita IVA) . Part time Si ricerca Fisioterapista domiciliare per centro di riabilitazione ex. art 26 zona Piazza Bologna e limitrofe. Attività in libera profe … Azienda: Centro di riabilitazione 03/09/2026 Roma Candidati
OFI Lazio,Fisioterapista,Azienda di Servizi alla Persona disabile visiva S. Alessio – Margherita di Savoia,,,False,False,,,non_specificato,non_specificato,False,,False,False,False,not_applicable,False,,,https://www.ofilazio.it/wp-content/uploads/2026/07/Richiesta-fisioterapista_rotated.pdf,50,,2b04ad30d5bc99218f74cd9e,89cee7edca6c226f673b58d8,Azienda di Servizi alla Persona disabile visiva S. Alessio – Margherita di Savoia Leggi Tutto
Indeed,Fisioterapista - Roma zona EUR,FISIOWELL S.R.L.,"Roma, Lazio",RM,False,False,,,non_specificato,non_specificato,False,,False,False,False,not_requested_known,False,,,https://it.indeed.com/viewjob?jk=9681ecf19bd73986,50,,1248bab79e6be66b9b039abf,614ca0f049968df70d89d8cd,"Fisioterapista - Roma zona EUR FISIOWELL S.R.L. Roma, Lazio"
Indeed,Fisioterapista,FISIOANIENE SRL,00159 Roma,RM,False,False,,,non_specificato,non_specificato,False,,False,False,False,not_requested_known,False,,,https://it.indeed.com/viewjob?jk=aef020f860c96f09,50,,b6df84edda7314452eabf9d1,978927ae45bb0eba448f4a75,Fisioterapista FISIOANIENE SRL 00159 Roma
Indeed,Fisioterapista,CLINICA Madonna Delle Grazie,00049 Velletri,RM,False,False,,,non_specificato,non_specificato,False,,False,False,False,not_requested_known,False,,,https://it.indeed.com/viewjob?jk=5813fe415c5993df,50,,9623c3f84e34cbdc67428268,e8cc4ee6810003259a0bd2b5,Fisioterapista CLINICA Madonna Delle Grazie 00049 Velletri
Indeed,Fisioterapista - M/F M/F,Clariane,00079 Rocca Priora,,False,False,,,non_specificato,non_specificato,False,,False,False,False,card_only_http_401,True,,,https://it.indeed.com/viewjob?jk=e02b0a7c59f3154b,50,,0774c0d8e27f5873cb8e5a5f,999b10a5b4780224be6591c7,Fisioterapista - M/F M/F Clariane 00079 Rocca Priora
Indeed,AREA RIABILITATIVA - FISIOTERAPISTA M/F,Clariane,"Roma, Lazio",RM,False,False,,,non_specificato,non_specificato,False,,False,False,False,card_only_http_401,True,,,https://it.indeed.com/viewjob?jk=3d529d977034fb12,50,,6394800bccffb54242468a91,7d0ccfc3315c101c5c37d26c,"AREA RIABILITATIVA - FISIOTERAPISTA M/F Clariane Roma, Lazio"
OFI Lazio,Fisioterapista,Istituto Fisioterapico di riabilitazione C. Franceschini,Roma,RM,False,False,2026-06-18,,partita_iva,non_specificato,False,,True,False,False,not_applicable,False,41.89193,12.51133,https://www.ofilazio.it/wp-content/uploads/2026/06/offerta-lavoro-signed.pdf,48,21.57327935239526,70beb1a7cf1b1313cd7b7ebb,9cd9d51cc3611e39deadc121,"Istituto Fisioterapico di riabilitazione C. Franceschini Leggi Tutto Istituto Fisioterapico di Riabilitazione “C. Franceschini” Srl Sede Legale: Piazzale Clodio 18, 00195 ROMA Uffici e Amministrazione: Via Selvapiana 2, 04016 SABAUDIA (LT) - Tel. 0773 5941 - Fax 0773 596175 Codice Fiscale 02575900580 - Partita Iva 01080381005 www.istitutofranceschini.it - info@istitutofranceschini.it SQS n° 50662 IQNet n°CH-50662 Sabaudia, 18/06/2026 L’Istituto Fisioterapico di riabilitazione C. Franceschini, accreditato con il SSN per riabilitazione intensiva post acuti, cod. 56, cerca fisioterapisti da inserire nel proprio organico a tempo pieno. Gli interessati possono inviare il cv all’email info@istitutofranceschini.it oppure telefonare al numero 07731312042. L’amministratore unico"
OFI Lazio,Fisioterapista,Medical Service Assistance Srl,Roma,RM,False,False,2026-04-16,,partita_iva,non_specificato,False,,True,False,False,not_applicable,False,41.89193,12.51133,https://www.ofilazio.it/wp-content/uploads/2026/05/Medical-Service-Assistance-Srl-Societa-Benefit.pdf,48,21.57327935239526,77875c457d72eb4d20f984bc,1be046c1ab6cdf25ebcc19b8,"Medical Service Assistance Srl Leggi tutto Medical Service Assistance S.r.l. Società Beneﬁt Sede di Roma: Via Cristoforo Colombo 436, Cap 00145 Casella e-mail: info@medicalserviceassistance.com Cod. Fisc./ P .IVA N.07015671006 Telefono: 0655300195 Fax: 0655300934 La Medical Service Assistance ricerca FISIOTERAPISTI per l'inserimento presso il CERIM - Centro di Fisioterapia e Riabilitazione a Sora. Chi Siamo: Siamo una società benefit leader nel settore dei servizi sanitari, impegnata a fornire assistenza di alta qualità a strutture pubbliche e private su tutto il territorio nazionale. Orari: lunedì-venerdì (40 ore settimanali) Collaborazione: contratto part-time/p.iva/prestazione occasionale Requisiti: • Laurea in Fisioterapia • Iscrizione all'albo professionale Invia la tua candidatura a: info@medicalserviceassistance.com Roma, 16/04/2026"
Indeed,Fisioterapista libero professionista,Regenera Fisioterapia,00177 Roma,RM,False,False,,,partita_iva,non_specificato,False,,True,False,False,not_requested_known,False,,,https://it.indeed.com/viewjob?jk=e052f6d07696d41e,38,,142f27ccc91026e751dafb45,ddf7a6f0375183104e8682ee,Fisioterapista libero professionista Regenera Fisioterapia 00177 Roma
Indeed,Fisioterapista libero professionista,Studio Medico Aloè,00171 Roma,RM,False,False,,,partita_iva,non_specificato,False,,True,False,False,not_requested_known,False,,,https://it.indeed.com/viewjob?jk=f04d9a8990f6c078,38,,45fbfbf2a31443bd27147055,966bec67b94f7b9694de7b4a,Fisioterapista libero professionista Studio Medico Aloè 00171 Roma
Indeed,Fisioterapista libero professionista,Fisiolistica 2000,00047 Marino,RM,False,False,,,partita_iva,non_specificato,False,,True,False,False,not_requested_known,False,,,https://it.indeed.com/viewjob?jk=46c0fea040f40ba7,38,,f4b7a1688af62d1693af3785,ff0d67cb9d349a8fb47728cb,Fisioterapista libero professionista Fisiolistica 2000 00047 Marino
Indeed,Fisioterapista libero professionista,Impresa Medica Srl,00165 Roma,RM,False,False,,,partita_iva,non_specificato,False,,True,False,False,not_requested_known,False,,,https://it.indeed.com/viewjob?jk=e603ffd5e5789a83,38,,2b29cf565c1e225e799d57d4,21158170c5c174956d92de9f,Fisioterapista libero professionista Impresa Medica Srl 00165 Roma
Bakeca,FISIOTERAPISTI,ISTITUTO SANTA CECILIA,Civitavecchia,RM,False,False,2026-09-02,,non_specificato,turni,False,,False,False,False,not_applicable,False,42.09325,11.79674,https://roma.bakeca.it/dettaglio/medicina-salute-assistenza/fisioterapisti-bhy5287824066,35,81.83996980345574,fbab4bfeaf047833c7da2374,bb2b0b70076daf8e47212479,"FISIOTERAPISTI Da definire . Turni Nato nel 1960, l’Istituto Santa Cecilia è un centro d'eccellenza per la riabilitazione, specializzato nella cura e nella terapia delle … Azienda: ISTITUTO SANTA CECILIA 02/09/2026 Civitavecchia Candidati"
